t E e M
s erg erg g
4380.71686972198 1.446647055671097e+51 6.086338742948406e+50 1.9902164734548118e+33
4388.78674122478 1.44696283809392e+51 6.0851046610573655e+50 1.9902157484448414e+33
4396.83711020975 1.4472724531598106e+51 6.083753217038698e+50 1.9902150272433082e+33
4404.88196793955 1.447572311893046e+51 6.081978095466959e+50 1.990214309189988e+33
4413.05473759092 1.4478799116954198e+51 6.0805134533524956e+50 1.9902135827232333e+33
4421.33463387931 1.4481949105847808e+51 6.079268279421342e+50 1.990212849899113e+33
4429.58585739827 1.4485070826447522e+51 6.077733340382959e+50 1.9902121228870147e+33
4437.82841599548 1.4488102560660832e+51 6.075934162160983e+50 1.9902113999929063e+33
4446.2234809721 1.4491127709879594e+51 6.074258182167346e+50 1.9902106672379727e+33
4454.70892683152 1.4494202831800191e+51 6.072779572506018e+50 1.9902099302487642e+33
4463.16746307634 1.4497333804684882e+51 6.071274758537989e+50 1.9902091993644604e+33
4471.63696877916 1.4500528369464268e+51 6.069436383975903e+50 1.9902084713910024e+33
4480.22974295647 1.450374989821594e+51 6.0678133132422384e+50 1.9902077368440886e+33
4488.87265012883 1.4506875562237491e+51 6.066279607245144e+50 1.990207002053474e+33
4497.56501704879 1.4509992089999998e+51 6.0647249572634845e+50 1.9902062670839062e+33
4506.40253196159 1.4513207609553727e+51 6.062631837776788e+50 1.99020552394742e+33
4515.50398870175 1.4516548021205435e+51 6.060468928490287e+50 1.990204762798942e+33
4524.91504475604 1.4519906133882286e+51 6.05811415688053e+50 1.9902039801973272e+33
4534.49078085697 1.4523281104754654e+51 6.0561514417269405e+50 1.9902031884370994e+33
4544.03475612432 1.452669540014237e+51 6.054269866246101e+50 1.9902024035687332e+33
4553.52686199792 1.4530094614384078e+51 6.052441206396865e+50 1.9902016274767504e+33
4562.9673612397 1.453341505559374e+51 6.050370965469046e+50 1.9902008600639982e+33
4572.37270708401 1.453670658027492e+51 6.048204234310095e+50 1.9902000996010064e+33
4581.80469794747 1.454001263537098e+51 6.046395978107615e+50 1.9901993410452203e+33
4591.2299276754 1.4543305376783645e+51 6.044503487685973e+50 1.9901985871482277e+33
4600.57437097031 1.4546531073090219e+51 6.042586065943828e+50 1.9901978438378567e+33
4609.82192913897 1.454971349226024e+51 6.040630644937229e+50 1.9901971123981428e+33
4618.99560957734 1.4552868907993942e+51 6.038742869843671e+50 1.990196390918716e+33
4628.08876527648 1.455593726532654e+51 6.037027393548541e+50 1.9901956798966185e+33
4637.07768880003 1.4558934669543521e+51 6.035298192958003e+50 1.990194980844449e+33
4645.97116284215 1.4561935236870197e+51 6.033531236111585e+50 1.990194293041702e+33
4654.78043961494 1.4564932421506083e+51 6.0319245162810596e+50 1.9901936154917433e+33
4663.49747029457 1.4567873917273427e+51 6.030458590729154e+50 1.9901929486597957e+33
4672.16227501486 1.457076696745765e+51 6.028855815081655e+50 1.990192289562019e+33
4680.81384417151 1.4573648450814566e+51 6.027336261656237e+50 1.9901916354120294e+33
4689.46763149675 1.4576522977610422e+51 6.025779509244203e+50 1.9901909826432033e+33
4698.15115227497 1.4579387348315593e+51 6.02405740656161e+50 1.9901903270966757e+33
4706.84756022787 1.4582242411502935e+51 6.022178315843363e+50 1.9901896712471425e+33
4715.58313635224 1.4585103458200568e+51 6.020444387126132e+50 1.990189015038301e+33
4724.25974818674 1.4587932746182936e+51 6.018853208611676e+50 1.9901883663331744e+33
4732.86523391629 1.4590725054514186e+51 6.017302665099501e+50 1.9901877261878482e+33
4741.36509907071 1.459347142637565e+51 6.01557616539384e+50 1.9901870969922184e+33
4749.77849954923 1.4596179631239732e+51 6.0140328166845805e+50 1.990186477292677e+33
4758.1159176161 1.4598853656734223e+51 6.012429844370313e+50 1.9901858663128542e+33
4766.36367411991 1.4601482926806334e+51 6.010878307225681e+50 1.9901852649880287e+33
4774.52732273973 1.4604077807183157e+51 6.0093064184824294e+50 1.990184672851274e+33
4782.60600889898 1.4606639019505061e+51 6.007803676347063e+50 1.9901840899130745e+33
4790.59959948579 1.4609157819474948e+51 6.006299640545747e+50 1.9901835161851713e+33
4798.51238072769 1.4611642809601192e+51 6.004876832401634e+50 1.990182951289133e+33
4806.34792111576 1.4614097720630472e+51 6.003392349667301e+50 1.9901823948829996e+33
4814.10102125563 1.461651437970842e+51 6.002006864608924e+50 1.9901818473923815e+33
4821.74672502548 1.4618888169279408e+51 6.000558443342632e+50 1.9901813106135765e+33
4829.32592531848 1.4621235450765271e+51 5.999099958827121e+50 1.9901807817894473e+33
4836.84205728947 1.4623553400520093e+51 5.997736193366741e+50 1.990180260970031e+33
4844.30576047012 1.4625846153718412e+51 5.996373341000771e+50 1.9901797479283626e+33
4851.702630765 1.4628112356752265e+51 5.994973402556022e+50 1.9901792448154077e+33
4859.03616599516 1.4630351297162176e+51 5.9935880911758725e+50 1.9901787457401805e+33
4866.30433249362 1.4632559553680298e+51 5.992197121311738e+50 1.9901782347135265e+33
4873.50441005148 1.4634739377984291e+51 5.990860952763651e+50 1.9901777249257138e+33
4880.63969165159 1.463689317245471e+51 5.989455000291958e+50 1.9901772189501824e+33
4887.70736594507 1.4639017378689837e+51 5.988067396997164e+50 1.990176716366965e+33
4894.7042737401 1.4641111655443235e+51 5.986795421888234e+50 1.9901762193128852e+33
4901.61267200072 1.4643172743560017e+51 5.985419118926872e+50 1.9901757287359138e+33
4908.46013012008 1.4645209156835676e+51 5.984186594417793e+50 1.9901752425905286e+33
4915.25998241616 1.4647224483646028e+51 5.982861402241292e+50 1.9901747602872767e+33
